County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
PICKENS,GA,5.66,12.65,20.59
PIERCE,GA,18.99,26.22,35.12
PIKE,GA,9.24,14.08,21.56
POLK,GA,14.35,25.96,36.82
PULASKI,GA,21.48,31.38,38.51
PUTNAM,GA,8.89,19.52,30.32
QUITMAN,GA,22.76,33.89,44.68
RABUN,GA,14.48,25.68,34.60
RANDOLPH,GA,28.88,38.49,52.08
RICHMOND,GA,18.35,29.95,40.36
ROCKDALE,GA,12.35,21.21,30.21
SCHLEY,GA,20.66,30.23,41.87
SCREVEN,GA,18.16,27.59,41.09
SEMINOLE,GA,22.29,30.78,45.45
SPALDING,GA,16.78,28.50,39.25
STEPHENS,GA,10.81,20.19,34.82
STEWART,GA,29.54,44.81,49.14
SUMTER,GA,21.70,32.67,43.21
TALBOT,GA,13.36,26.83,36.92
TALIAFERRO,GA,19.80,28.36,46.70
TATTNALL,GA,16.69,30.14,39.66
TAYLOR,GA,22.30,39.91,45.03
TELFAIR,GA,24.98,39.83,55.59
TERRELL,GA,28.22,38.09,47.30
THOMAS,GA,17.14,29.42,39.57
TIFT,GA,18.71,26.28,37.55
TOOMBS,GA,17.08,31.82,42.97
TOWNS,GA,11.27,20.62,28.77
TREUTLEN,GA,13.88,25.56,35.61
TROUP,GA,16.60,25.01,36.71
TURNER,GA,29.80,34.18,38.42
TWIGGS,GA,19.17,28.00,41.04
UNION,GA,9.70,17.65,28.61
UPSON,GA,17.43,27.32,38.83
WALKER,GA,13.11,23.99,36.14
WALTON,GA,9.63,18.02,25.88
WARE,GA,17.62,27.60,36.65
WARREN,GA,21.67,33.40,47.78
WASHINGTON,GA,21.52,29.93,42.32
WAYNE,GA,14.28,26.86,38.38
WEBSTER,GA,19.28,32.45,39.81
WHEELER,GA,21.76,39.25,51.37
WHITE,GA,10.18,16.86,29.69
WHITFIELD,GA,13.18,25.78,39.73
WILCOX,GA,15.55,25.90,43.12
WILKES,GA,18.50,31.29,40.85
WILKINSON,GA,19.85,28.11,39.42
